TweetId,TweetTimestamp,EstimatedTimestamp,Error
17733,1155427046,1155430160,3114
17880,1155564013,1155542765,21248
17117,1155105874,1155115696,9822
17099,1155101276,1155106192,4916
19428,1156268185,1156259207,8978
18574,1155851397,1155855445,4048
18306,1155752355,1155748634,3721
18718,1155922060,1155920987,1073
19421,1156266850,1156256346,10504
18555,1155845691,1155847959,2268
19451,1156271899,1156268606,3293
18520,1155833109,1155834169,1060
18482,1155826432,1155816811,9621
19450,1156271704,1156268197,3507
19520,1156286039,1156290584,4545
19716,1156362312,1156349185,13127
22855,1156771643,1156765078,6565
20029,1156446162,1156436586,9576
20051,1156450255,1156442096,8159
20527,1156562375,1156573405,11030
20824,1156651453,1156662231,10778
20045,1156449765,1156440593,9172
20199,1156479872,1156480688,816
19747,1156369424,1156358739,10685
25201,1157329249,1157326821,2428
25441,1157389029,1157382884,6145
24194,1157063892,1157065467,1575
25215,1157333935,1157330734,3201
24338,1157088452,1157088336,116
24157,1157059045,1157059591,546
24702,1157185252,1157186415,1163
24339,1157088495,1157039739,48756
25386,1157381844,1157370934,10910
24754,1157207864,1157203811,4053
28328,1157923841,1157921699,2142
27698,1157805999,1157806345,346
27566,1157769406,1157781064,11658
28206,1157908112,1157896339,11773
28939,1158031560,1158033183,1623
26820,1157672398,1157673646,1248
27172,1157726651,1157725588,1063
27729,1157813243,1157812282,961
26617,1157652592,1157643550,9042
29174,1158073772,1158071290,2482
31772,1158529866,1158534952,5086
30258,1158243749,1158231025,12724
29554,1158122346,1158130611,8265
30966,1158342248,1158340785,1463
29657,1158145865,1158146576,711
31849,1158548381,1158551814,3433
30941,1158339789,1158336697,3092
29264,1158083830,1158085662,1832
30359,1158254584,1158245528,9056
31177,1158371810,1158372980,1170
35009,1159212312,1159212440,128
33534,1158875624,1158871227,4397
33318,1158831877,1158829851,2026
33967,1158958726,1158955068,3658
33872,1158945249,1158936593,8656
32334,1158654389,1158653404,985
32374,1158664010,1158660272,3738
32756,1158723576,1158725864,2288
35089,1159223673,1159228252,4579
35296,1159277885,1159269719,8166
37017,1159572019,1159585998,13979
37871,1159798275,1159797854,421
38158,1159848369,1159853790,5421
35470,1159302101,1159304077,1976
35915,1159380487,1159383008,2521
38032,1159822941,1159825472,2531
36783,1159542332,1159544564,2232
37512,1159679113,1159687737,8624
38282,1159889272,1159886606,2666
35512,1159308601,1159311451,2850
39395,1160109573,1160111956,2383
40411,1160358002,1160365199,7197
40151,1160281282,1160287313,6031
38838,1160000958,1160006254,5296
38790,1159995338,1159996744,1406
39224,1160084044,1160079952,4092
38689,1159979445,1159972792,6653
39883,1160225603,1160220218,5385
39710,1160182394,1160185351,2957
38552,1159940022,1159936794,3228
42296,1160669244,1160660614,8630
43025,1160797855,1160801683,3828
42965,1160790091,1160790566,475
41431,1160537494,1160546455,8961
41328,1160529022,1160533659,4637
41765,1160587358,1160587359,1
43814,1160961852,1160962403,551
42595,1160712446,1160717013,4567
41077,1160500330,1160495894,4436
42544,1160703232,1160703863,631
46745,1161546043,1161547532,1489
45952,1161382690,1161377536,5154
44887,1161194395,1161190766,3629
45194,1161262525,1161258450,4075
45575,1161316229,1161316479,250
46095,1161402694,1161405228,2534
45981,1161386986,1161382261,4725
44763,1161167442,1161163363,4079
44659,1161141654,1161142438,784
46524,1161488856,1161491315,2459
49948,1161956196,1161947187,9009
52862,1162291040,1162284076,6964
48224,1161792443,1161789552,2891
49831,1161942897,1161937129,5768
48149,1161784928,1161777555,7373
48640,1161838557,1161843108,4551
49485,1161909599,1161908745,854
49711,1161927123,1161926814,309
47801,1161722689,1161722223,466
50615,1162007677,1162011865,4188
56903,1162751117,1162747745,3372
53596,1162357327,1162364790,7463
53592,1162356765,1162364408,7643
54172,1162417966,1162421475,3509
54052,1162407881,1162408647,766
56449,1162678688,1162685660,6972
55751,1162587543,1162585826,1717
53699,1162374591,1162374613,22
55770,1162589045,1162588061,984
54895,1162495674,1162495312,362
64542,1163400120,1163398924,1196
60332,1163042491,1163044230,1739
62898,1163248081,1163248640,559
63031,1163261252,1163260942,310
63636,1163308887,1163316900,8013
64834,1163429765,1163422208,7557
61717,1163141394,1163148394,7000
66286,1163524834,1163523395,1439
61300,1163112993,1163116689,3696
63850,1163342988,1163336504,6484
74287,1163922038,1163922741,703
66562,1163541675,1163541299,376
70556,1163736554,1163742586,6032
76543,1164035515,1164033188,2327
74589,1163943410,1163938427,4983
70614,1163739886,1163745348,5462
66792,1163554758,1163555865,1107
70939,1163761560,1163760066,1494
71421,1163779635,1163778503,1132
69398,1163690122,1163687439,2683
272713,1164578670,1164577299,1371
79560,1164122983,1164107629,15354
304143,1164637180,1164623779,13401
401873,1164766392,1164768335,1943
434643,1164820674,1164814490,6184
667713,1165319067,1165313832,5235
